Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Net Intraprovincial,Net Total Migration
2006-2007,5950,Cariboo,250,175,79,79,49,124,2012,1994,18,126,268
2006-2007,5960,North Coast,81,130,16,56,43,-46,700,661,39,-516,-523
2006-2007,5970,Nechako,42,61,28,26,0,-17,497,474,23,-467,-461
2006-2007,5980,Northeast,124,63,44,28,51,128,1999,1938,61,-18,171
2007-2008,5900,British Columbia,43220,12163,5695,5798,11119,42073,57396,42753,14643,0,56716
2007-2008,5910,Vancouver Island/Coast,2425,1380,743,660,88,1216,13169,8004,5165,2571,8952
2007-2008,5920,Mainland/Southwest,38515,9801,4273,4672,9992,38307,25230,20585,4645,-3652,39300
2007-2008,5930,Thompson/Okanagan,1396,571,430,269,849,1835,10741,6659,4082,2552,8469
2007-2008,5940,Kootenay,329,209,108,98,88,218,3738,2475,1263,223,1704
2007-2008,5950,Cariboo,292,88,65,42,68,295,1768,2142,-374,-583,-662
2007-2008,5960,North Coast,74,21,30,12,-19,52,673,567,106,-258,-100
2007-2008,5970,Nechako,49,46,24,23,-7,-3,488,474,14,-407,-396
2007-2008,5980,Northeast,140,47,22,22,60,153,1589,1847,-258,-446,-551
2008-2009,5900,British Columbia,42375,11240,5403,5800,17683,48421,51061,41066,9995,0,58416
2008-2009,5910,Vancouver Island/Coast,2285,1363,750,697,656,1631,11758,7763,3995,2283,7909
2008-2009,5920,Mainland/Southwest,38025,8804,4035,4553,15482,44185,24102,18682,5420,-1064,48541
2008-2009,5930,Thompson/Okanagan,1229,706,385,363,1023,1568,8599,6949,1650,1311,4529
2008-2009,5940,Kootenay,341,134,113,70,273,523,2852,2426,426,-25,924
2008-2009,5950,Cariboo,228,132,45,67,121,195,1393,2342,-949,-1534,-2288
2008-2009,5960,North Coast,99,35,32,16,13,93,587,620,-33,-410,-350
2008-2009,5970,Nechako,61,11,29,5,5,79,345,519,-174,-561,-656
2008-2009,5980,Northeast,107,55,14,29,110,147,1425,1765,-340,0,-193
2009-2010,5900,British Columbia,43871,11589,5913,5799,11174,43570,49469,40741,8728,0,52298
2009-2010,5910,Vancouver Island/Coast,2488,1246,836,623,158,1613,11624,7872,3752,2271,7636
2009-2010,5920,Mainland/Southwest,38854,9347,4500,4681,10522,39848,23264,19464,3800,-240,43408
2009-2010,5930,Thompson/Okanagan,1445,640,388,318,310,1185,8443,6468,1975,373,3533
2009-2010,5940,Kootenay,469,117,96,57,65,456,2676,2406,270,-119,607
2009-2010,5950,Cariboo,301,90,49,46,72,286,1381,1915,-534,-1100,-1348
2009-2010,5960,North Coast,113,45,17,22,7,70,465,602,-137,-587,-654
2009-2010,5970,Nechako,60,32,9,17,-16,4,330,397,-67,-367,-430
2009-2010,5980,Northeast,141,72,18,35,56,108,1286,1617,-331,-231,-454
2010-2011,5900,British Columbia,38947,11809,5334,5797,399,27074,47854,44433,3421,0,30495
2010-2011,5910,Vancouver Island/Coast,2311,1310,702,657,-668,378,10898,8459,2439,1541,4358
2010-2011,5920,Mainland/Southwest,34656,9358,4126,4586,1245,26083,22792,21662,1130,-692,26521
2010-2011,5930,Thompson/Okanagan,1153,666,343,325,-144,361,8223,7166,1057,854,2272
2010-2011,5940,Kootenay,289,221,70,107,-137,-106,2512,2431,81,-292,-317
2010-2011,5950,Cariboo,269,85,26,40,63,233,1327,1975,-648,-590,-1005
2010-2011,5960,North Coast,65,57,20,27,16,17,406,659,-253,-593,-829
